instruction,category,intent
dónde puedo consultar cuánto tiempo tarda en llegar mi artículo,DELIVERY,delivery_period
no te entiendo necesito ayuda para hablar con alguien,CONTACT,contact_human_agent
pregunta sobre la cancelación de mi cuenta estándar,ACCOUNT,delete_account
me gustaría crear una cuenta de tipo tipo_cuenta cómo puedo hacerlo,ACCOUNT,create_account
es posible reportar problemas con los pagos en línea,PAYMENT,payment_issue
necesito notificar un error en un registro,ACCOUNT,registration_problems
necesito ayuda para corregir la compra numero_pedido,ORDER,change_order
necesito ver las opciones de pago que aceptas,PAYMENT,check_payment_methods
quiero soporte para cambiar mi dirección,SHIPPING,change_shipping_address
sería posible notificar un maldito error de registro,ACCOUNT,registration_problems
necesito ayuda para recuperar el pin de mi perfil de usuario,ACCOUNT,recover_password
ayúdenme a cancelar la compra numero_pedido,ORDER,cancel_order
necesito ayuda para hablar con un asistente,CONTACT,contact_human_agent
ayuda a ver las penalizaciones por rescisión anticipada,CANCEL,check_cancellation_fee
puedes ayudarme a restablecer la clave de acceso de mi cuenta,ACCOUNT,recover_password
me gustaría crear una cuenta freemium,ACCOUNT,create_account
quiero reportar errores de pago,PAYMENT,payment_issue
asistencia para cerrar una cuenta estándar,ACCOUNT,delete_account
quiero soporte para cambiar la dirección de envío,SHIPPING,change_shipping_address
cómo puedo cancelar una cuenta freemium,ACCOUNT,delete_account
dónde adquirir varios artículos,ORDER,place_order
hablar con el asistente,CONTACT,contact_human_agent
necesito hablar con atención al cliente me pueden ayudar,CONTACT,contact_customer_service
ayuda para ver el estado de la compra numero_pedido,ORDER,track_order
informar sobre problemas con los pagos,PAYMENT,payment_issue
tengo que comprobar en qué casos puedo solicitar reembolsos,REFUND,check_refund_policy
necesito comprobar cuánto tarda en llegar el paquete,DELIVERY,delivery_period
crear una cuenta gold para mi esposa,ACCOUNT,create_account
quiero soporte para cambiar mi dirección,SHIPPING,change_shipping_address
cambio de datos en la cuenta de oro,ACCOUNT,edit_account
quiero ver el estado del pedido numero_pedido,ORDER,track_order
necesito ayuda para corregir mi dirección de entrega,SHIPPING,change_shipping_address
cómo podría notificar los errores en el registro,ACCOUNT,registration_problems
no sé qué tengo que hacer para eliminar la cuenta freemium,ACCOUNT,delete_account
espero un reembolso de simbolo_moneda monto_reembolso,REFUND,track_refund
necesito adquirir varios artículos me pueden ayudar,ORDER,place_order
he perdido la factura n 00108 podrías encontrarla por mí,INVOICE,check_invoice
actualizando datos en la cuenta tipo_cuenta,ACCOUNT,edit_account
quiero ayuda para restaurar la clave de acceso de mi cuenta,ACCOUNT,recover_password
puedes darme más información sobre cómo darme de baja de tu boletín informativo,SUBSCRIPTION,newsletter_subscription
no sé cómo enviar comentarios sobre sus servicios,FEEDBACK,review
quiero ayuda para revisar tus opciones de pago,PAYMENT,check_payment_methods
puedo ver la fecha estimada de entrega de la compra numero_pedido,ORDER,track_order
necesito una cuenta de tipo_cuenta créala,ACCOUNT,create_account
necesitas ayuda para hablar con un agente en directo,CONTACT,contact_human_agent
puedes ayudarme a cancelar la compra numero_pedido,ORDER,cancel_order
eliminando la cuenta tipo_cuenta,ACCOUNT,delete_account
necesito ver qué modalidades de pago están permitidas,PAYMENT,check_payment_methods
quiero ayuda para ver sus modalidades de pago,PAYMENT,check_payment_methods
puedo cancelar mi suscripción al boletín informativo de mi empresa,SUBSCRIPTION,newsletter_subscription
no sé qué tengo que hacer para obtener la factura n 12588,INVOICE,get_invoice
necesito ayuda para encontrar mi factura n 12588,INVOICE,check_invoice
no sé qué tengo que hacer para ver la penalización por retiro,CANCEL,check_cancellation_fee
información sobre cómo editar mi dirección de envío,SHIPPING,change_shipping_address
no te entiendo ayúdame a chatear con alguien,CONTACT,contact_human_agent
problema con la eliminación de cuentas pro,ACCOUNT,delete_account
viendo facturas de nombre_persona,INVOICE,check_invoice
podría proporcionarme información sobre cómo corregir una dirección,SHIPPING,change_shipping_address
no sé qué hacer para eliminar una cuenta tipo_cuenta,ACCOUNT,delete_account
necesito consultar las modalidades de pago disponibles,PAYMENT,check_payment_methods
estoy intentando ver los métodos de pago aceptados,PAYMENT,check_payment_methods
quiero notificar un problema con los pagos,PAYMENT,payment_issue
qué debo hacer para enviar la nueva dirección de envío,SHIPPING,set_up_shipping_address
necesito ayuda para recuperar el código pin de mi perfil,ACCOUNT,recover_password
qué debo hacer para ver el estado actual de mi compensación,REFUND,track_refund
puedo echar un vistazo rápido a la factura de nombre_persona,INVOICE,check_invoice
no puedo crear un usuario necesito ayuda para reportar un problema de registro,ACCOUNT,registration_problems
enviar nueva dirección de envío,SHIPPING,set_up_shipping_address
dónde podría presentar una maldita reclamación contra su empresa,FEEDBACK,complaint
no puedo informar de problemas con el registro,ACCOUNT,registration_problems
alguien ha robado la clave de mi cuenta de usuario ayúdenme a recuperarla,ACCOUNT,recover_password
cancelar compra numero_pedido,ORDER,cancel_order
necesitas ayuda para ver tu garantía de devolución de dinero,REFUND,check_refund_policy
necesito ayuda para saber cuándo llegará mi compra,DELIVERY,delivery_period
tengo que corregir el pedido numero_pedido,ORDER,change_order
podrías ayudarme a ver qué métodos de envío tengo disponibles,DELIVERY,delivery_options
cómo cancelo el pedido numero_pedido,ORDER,cancel_order
tengo un problema con la terminación de una cuenta tipo_cuenta,ACCOUNT,delete_account
intento ver en qué horario puedo contactar con el servicio de atención al cliente,CONTACT,contact_customer_service
me podrías dar información sobre la cancelación de cuentas pro,ACCOUNT,delete_account
tengo un problema al configurar mi dirección de envío secundaria,SHIPPING,set_up_shipping_address
realizan envíos a ciudad_entrega,DELIVERY,delivery_options
necesito ayuda para saber cuándo llegará mi compra,DELIVERY,delivery_period
intento presentar una queja de consumidor contra su organización,FEEDBACK,complaint
estoy esperando una compensación de simbolo_moneda monto_reembolso,REFUND,track_refund
puedo ver en qué circunstancias puedo solicitar reembolsos,REFUND,check_refund_policy
no sé cómo puedo consultar la factura n 12588,INVOICE,check_invoice
no puedo enviar mi dirección de envío,SHIPPING,set_up_shipping_address
asistencia para cambiar algo del pedido numero_pedido,ORDER,change_order
tengo que ponerme en contacto con atención al cliente necesito ayuda,CONTACT,contact_customer_service
corrigiendo detalles en la cuenta tipo_cuenta,ACCOUNT,edit_account
necesito ayuda para reportar problemas con los pagos en línea,PAYMENT,payment_issue
llamo para escribir una opinión sobre sus servicios,FEEDBACK,review
tengo que ver las malditas opciones de entrega cómo se hace,DELIVERY,delivery_options
no encuentro información sobre las penalizaciones por retirada,CANCEL,check_cancellation_fee
ayuda para cancelar la compra numero_pedido,ORDER,cancel_order
estoy esperando un maldito reembolso de monto_reembolso dólares,REFUND,track_refund
dame información sobre la eliminación de mi cuenta tipo_cuenta,ACCOUNT,delete_account
pregunta sobre la cancelación de cuentas freemium,ACCOUNT,delete_account
ayúdenme a cancelar la suscripción al boletín informativo de su empresa,SUBSCRIPTION,newsletter_subscription
tengo que ver el estado del pedido numero_pedido puedes ayudarme,ORDER,track_order
podrías ayudarme a crear una nueva cuenta freemium,ACCOUNT,create_account
quiero chatear con una persona,CONTACT,contact_human_agent
podrías ayudarme a crear una cuenta estándar para mi hija,ACCOUNT,create_account
estoy intentando consultar el estado actual de la compra numero_pedido,ORDER,track_order
intentaré ver su política de reembolso,REFUND,check_refund_policy
cómo puedo ver los métodos de pago permitidos,PAYMENT,check_payment_methods
quiero ayuda para cerrar mi cuenta tipo_cuenta,ACCOUNT,delete_account
puedes ayudarme a hablar con un asistente,CONTACT,contact_human_agent
quiero ayuda para eliminar la cuenta premium,ACCOUNT,delete_account
puedes ayudarme a configurar mi dirección de entrega secundaria,SHIPPING,set_up_shipping_address
no sé qué tengo que hacer para cambiar a la cuenta tipo_cuenta,ACCOUNT,switch_account
cómo puedo ver qué métodos de envío hay disponibles,DELIVERY,delivery_options
ayúdenme a presentar una reclamación de cliente contra su organización,FEEDBACK,complaint
quiero saber más sobre un cambio de dirección de entrega,SHIPPING,change_shipping_address
tengo un problema al cancelar el pedido numero_pedido,ORDER,cancel_order
cómo configurar la nueva dirección de entrega,SHIPPING,set_up_shipping_address
puedes ayudarme a recuperar la contraseña de mi cuenta,ACCOUNT,recover_password
ayúdenme a informar sobre un problema con el pago,PAYMENT,payment_issue
tienes una dirección a la que pueda enviar mis comentarios sobre un producto,FEEDBACK,review
necesito presentar una queja contra su empresa,FEEDBACK,complaint
tengo que recuperar mi dinero,REFUND,get_refund
dónde puedo informar de un problema con el registro,ACCOUNT,registration_problems
eche un vistazo rápido a la factura n 12588,INVOICE,check_invoice
quiero crear una cuenta de tipo_cuenta,ACCOUNT,create_account
estoy intentando cambiar mi dirección de entrega,SHIPPING,change_shipping_address
puedo cerrar una cuenta de tipo_cuenta,ACCOUNT,delete_account
ayúdame a echar un vistazo rápido a mis facturas de nombre_persona,INVOICE,check_invoice
ayúdame a ver tus modalidades de pago permitidas,PAYMENT,check_payment_methods
necesito pagar la tarifa de salida anticipada,CANCEL,check_cancellation_fee
dónde puedo consultar la factura n 85632,INVOICE,check_invoice
no sé qué debo hacer para editar mi dirección de envío,SHIPPING,change_shipping_address
tengo que comprobar cuándo llegará mi paquete necesito ayuda,DELIVERY,delivery_period
es posible realizar un pedido desde ciudad_entrega,DELIVERY,delivery_options
quiero saber cuándo puedo esperar mi maldito pedido ayúdenme,DELIVERY,delivery_period
no sé cómo consultar la fecha estimada de entrega de la compra numero_pedido,ORDER,track_order
cómo notificar problemas con el pago,PAYMENT,payment_issue
ayuda para comprobar en qué casos puedo solicitar un reembolso,REFUND,check_refund_policy
dame información sobre cómo abrir una cuenta de tipo_cuenta,ACCOUNT,create_account
no sé qué hacer para contactar con atención al cliente,CONTACT,contact_customer_service
editar cuenta freemium,ACCOUNT,edit_account
no sé cómo podría consultar mi factura de nombre_persona,INVOICE,check_invoice
puedo consultar a qué hora puedo contactar con el servicio de atención al cliente,CONTACT,contact_customer_service
problema al enviar otra dirección de entrega,SHIPPING,set_up_shipping_address
no sé qué debo hacer para consultar la factura n 85632,INVOICE,check_invoice
problemas al cancelar la compra numero_pedido,ORDER,cancel_order
cambio de información en la cuenta de oro,ACCOUNT,edit_account
ayuda para comprobar cuándo puedo esperar mi compra,DELIVERY,delivery_period
ayuda para ver qué opciones de entrega ofreces,DELIVERY,delivery_options
consulta tus opciones de pago permitidas,PAYMENT,check_payment_methods
ayúdenme a informar sobre un error con el pago en línea,PAYMENT,payment_issue
introduje una dirección de entrega incorrecta podría corregirla,SHIPPING,change_shipping_address
estoy teniendo un error al registrarme me pueden ayudar,ACCOUNT,registration_problems
no sé qué hacer para ver el estado de la compensación,REFUND,track_refund
necesito ayuda para cancelar la compra numero_pedido,ORDER,cancel_order
ayúdame a comprobar las comisiones por retirada,CANCEL,check_cancellation_fee
me puedes ayudar a configurar la nueva dirección de envío,SHIPPING,set_up_shipping_address
estoy buscando opciones de entrega me pueden ayudar,DELIVERY,delivery_options
problemas al cancelar el pedido numero_pedido,ORDER,cancel_order
ayúdame a enumerar los métodos de pago,PAYMENT,check_payment_methods
no sé cómo darme de baja de su boletín informativo,SUBSCRIPTION,newsletter_subscription
asistencia para informar sobre un problema de registro,ACCOUNT,registration_problems
necesito ayuda para saber cuánto tiempo suelen tardar los reembolsos,REFUND,check_refund_policy
es posible consultar las modalidades de pago permitidas,PAYMENT,check_payment_methods
necesito cambiar el pedido numero_pedido,ORDER,change_order
dónde puedo ver cuándo llegará mi producto,DELIVERY,delivery_period
no puedo recuperar mi maldita contraseña de usuario,ACCOUNT,recover_password
puedo crear una cuenta de tipo_cuenta para mi prometido,ACCOUNT,create_account
necesito ayuda para comprobar cuánto tardan los reembolsos,REFUND,check_refund_policy
datos correctos en la cuenta premium,ACCOUNT,edit_account
no sé cómo darme de baja del boletín informativo de la empresa,SUBSCRIPTION,newsletter_subscription
necesito ayuda para obtener la factura de nombre_persona,INVOICE,get_invoice
intento restaurar la clave de acceso de mi cuenta,ACCOUNT,recover_password
no sé cómo puedo descargar mi factura n 00108,INVOICE,get_invoice
no sé qué tengo que hacer para ver las opciones de envío,DELIVERY,delivery_options
no uso mi cuenta freemium estoy intentando cancelarla,ACCOUNT,delete_account
cuéntame sobre mi suscripción a tu boletín informativo,SUBSCRIPTION,newsletter_subscription
necesito ayuda con mi registro,ACCOUNT,registration_problems
es posible eliminar mi cuenta estándar,ACCOUNT,delete_account
existe alguna sección para enviar comentarios sobre sus servicios,FEEDBACK,review
no estoy registrado quiero crear una cuenta pro,ACCOUNT,create_account
dónde puedo informar de los errores de registro,ACCOUNT,registration_problems
intento comprar un artículo,ORDER,place_order
ayúdenme a comprobar en qué casos puedo solicitar un reembolso,REFUND,check_refund_policy
cómo podría cambiar varios artículos de la compra numero_pedido,ORDER,change_order
podrías ayudarme a chatear con un agente en directo,CONTACT,contact_human_agent
es necesario reportar un problema con el registro,ACCOUNT,registration_problems
es posible echar un vistazo rápido a la factura n 12588,INVOICE,check_invoice
cancelación de compra numero_pedido,ORDER,cancel_order
problema con la cancelación de mi cuenta tipo_cuenta,ACCOUNT,delete_account
quiero ayuda para usar el perfil tipo_cuenta,ACCOUNT,switch_account
intento comprobar los cargos por cancelación,CANCEL,check_cancellation_fee
cómo cambiar a la cuenta pro,ACCOUNT,switch_account
cómo puedo agregar algunos productos sangrientos al pedido numero_pedido,ORDER,change_order
puedo realizar un pedido desde ciudad_entrega,DELIVERY,delivery_options
cómo puedo ver los métodos de envío que ofrecen,DELIVERY,delivery_options
necesito ayuda para saber cuándo puedo esperar mi paquete,DELIVERY,delivery_period
tengo que cerrar la cuenta platino ayúdenme,ACCOUNT,delete_account
necesito ayuda para comprar algunos de sus artículos,ORDER,place_order
tengo que ver mi factura ayúdenme,INVOICE,check_invoice
no sé cómo crear una cuenta de tipo_cuenta para mi padre,ACCOUNT,create_account
necesito ayuda para saber en qué casos puedo pedir que me devuelvan el dinero,REFUND,check_refund_policy
no puedo realizar una transferencia cómo puedo notificar un problema con el pago,PAYMENT,payment_issue
envíenme la factura 85632,INVOICE,get_invoice
información correcta en la cuenta tipo_cuenta,ACCOUNT,edit_account
quiero enviar comentarios sobre un servicio,FEEDBACK,review
puedes ayudarme a cancelar la compra numero_pedido,ORDER,cancel_order
quiero ayuda para cambiar la compra numero_pedido,ORDER,change_order
quiero ayuda para cancelar la cuenta freemium,ACCOUNT,delete_account
necesito ayuda para notificar problemas con un registro,ACCOUNT,registration_problems
necesito ayuda para recibir reembolsos de mi dinero,REFUND,get_refund
quieres saber más sobre la suscripción al boletín informativo de tu empresa,SUBSCRIPTION,newsletter_subscription
no sé cómo puedo cambiar a la cuenta tipo_cuenta,ACCOUNT,switch_account
quiero ayuda para recibir el boletín informativo,SUBSCRIPTION,newsletter_subscription
necesito recibir el boletín informativo de su empresa cómo puedo hacerlo,SUBSCRIPTION,newsletter_subscription
necesito ayuda para notificar un problema con el registro,ACCOUNT,registration_problems
cambio de información en la cuenta platino,ACCOUNT,edit_account
existe algún método para enviar comentarios sobre un producto,FEEDBACK,review
no sé qué tengo que hacer para que un cliente llame,FEEDBACK,complaint
qué debo hacer para hablar con un operador,CONTACT,contact_human_agent
asistencia para crear una cuenta platino,ACCOUNT,create_account
necesito ayuda para obtener mi factura n 37777,INVOICE,get_invoice
comprar varios productos,ORDER,place_order
tengo problemas para cancelar la compra numero_pedido,ORDER,cancel_order
necesito ayuda para recuperar mi pin de perfil,ACCOUNT,recover_password
necesito ayuda para comprobar la tarifa de rescisión,CANCEL,check_cancellation_fee
ayúdenme a cancelar el pedido numero_pedido,ORDER,cancel_order
no sé cómo puedo contactar con atención al cliente,CONTACT,contact_customer_service
admite el cambio de la dirección de envío,SHIPPING,change_shipping_address
necesito ver los métodos de entrega cómo puedo hacerlo,DELIVERY,delivery_options
error al configurar la dirección de envío,SHIPPING,set_up_shipping_address
no sé qué tengo que hacer para comprar varios artículos,ORDER,place_order
no sé cómo puedo crear una cuenta estándar,ACCOUNT,create_account
cancelar cuenta pro,ACCOUNT,delete_account
me puedes dar más información sobre el cambio de dirección,SHIPPING,change_shipping_address
necesito ayuda para notificar errores de pago,PAYMENT,payment_issue
trato de enumerar las opciones de pago aceptadas,PAYMENT,check_payment_methods
no sé qué debo hacer para descargar mi factura 85632,INVOICE,get_invoice
ayuda para escribir una reseña sobre un producto,FEEDBACK,review
cambiar información en la cuenta tipo_cuenta,ACCOUNT,edit_account
estoy esperando un reembolso de simbolo_moneda monto_reembolso,REFUND,track_refund
no sé qué tengo que hacer para chatear con alguien,CONTACT,contact_human_agent
necesito saber cuánto tardan los reembolsos cómo se hace,REFUND,check_refund_policy
cómo puedo echar un vistazo rápido a la factura n 85632,INVOICE,check_invoice
muéstrame los métodos de pago,PAYMENT,check_payment_methods
necesito cancelar mi suscripción al boletín informativo de la empresa,SUBSCRIPTION,newsletter_subscription
ayuda para saber en qué casos puedo solicitar un reembolso,REFUND,check_refund_policy
ayúdame a usar la cuenta tipo_cuenta,ACCOUNT,switch_account
ayuda para saber en qué circunstancias puedo solicitar reembolsos,REFUND,check_refund_policy
no sé qué debo hacer para eliminar mi cuenta estándar,ACCOUNT,delete_account
no sé cómo puedo cancelar el pedido numero_pedido,ORDER,cancel_order
tengo que informar de errores con el pago necesito ayuda,PAYMENT,payment_issue
necesita ayuda para presentar una reclamación contra su organización,FEEDBACK,complaint
podrías ayudarme a ver las opciones de pago que aceptas,PAYMENT,check_payment_methods
llamo para ver qué métodos de envío ofrecen,DELIVERY,delivery_options
intento recibir el boletín informativo,SUBSCRIPTION,newsletter_subscription
puedes ayudarme a corregir mi maldita dirección de envío,SHIPPING,change_shipping_address
quiero modificar la información de mi usuario necesito ayuda,ACCOUNT,edit_account
no sé cómo ponerme en contacto con el servicio de atención al cliente,CONTACT,contact_customer_service
elegí una dirección de entrega incorrecta me puedes ayudar a actualizarla,SHIPPING,change_shipping_address
quiero ver qué opciones de envío tengo cómo puedo hacerlo,DELIVERY,delivery_options
eliminar cuenta de oro,ACCOUNT,delete_account
olvidé mi clave de perfil ayúdame a recuperarla,ACCOUNT,recover_password
necesito ayuda para notificar problemas con el registro,ACCOUNT,registration_problems
no sé qué tengo que hacer para enviar comentarios,FEEDBACK,review
es posible cancelar el pedido numero_pedido,ORDER,cancel_order
ayuda para recuperar la contraseña de mi perfil,ACCOUNT,recover_password
puedes ayudarme a comprobar la fecha estimada de entrega de la compra numero_pedido,ORDER,track_order
necesito ayuda para ver los cargos por cancelación,CANCEL,check_cancellation_fee
notificación de problemas al crear el perfil de usuario,ACCOUNT,registration_problems
encontrar información sobre la eliminación de mi cuenta gold,ACCOUNT,delete_account
no sé cómo adquirir un artículo,ORDER,place_order
cómo hablar con un asistente,CONTACT,contact_human_agent
tengo que informar de problemas con el pago,PAYMENT,payment_issue
dónde puedo suscribirme al boletín informativo de su empresa,SUBSCRIPTION,newsletter_subscription
no sé cómo puedo descargar la factura n 37777,INVOICE,get_invoice
dónde puedo consultar la fecha estimada de entrega eta de mi pedido numero_pedido,ORDER,track_order
ayúdame a usar el perfil tipo_cuenta,ACCOUNT,switch_account
he comprado un maldito producto cancelar pedido numero_pedido,ORDER,cancel_order
cancelación de la cuenta freemium,ACCOUNT,delete_account
puedo enviarles mi opinión sobre sus productos,FEEDBACK,review
necesito ayuda para echar un vistazo rápido a la factura n 85632,INVOICE,check_invoice
no sé cómo puedo cancelar la cuenta pro,ACCOUNT,delete_account
es posible ver el cargo por cancelación anticipada,CANCEL,check_cancellation_fee
asistencia para introducir una dirección de entrega diferente,SHIPPING,set_up_shipping_address
puedes informarme sobre la suscripción al boletín informativo corporativo,SUBSCRIPTION,newsletter_subscription
quiero ayuda para cancelar la compra numero_pedido,ORDER,cancel_order
podrías ayudarme a revisar las opciones de envío,DELIVERY,delivery_options
deit purchase numero_pedido,ORDER,change_order
cómo puedo recuperar la contraseña de mi perfil de usuario,ACCOUNT,recover_password
necesito ayuda para ver los cargos por cancelación,CANCEL,check_cancellation_fee
quiero ayuda para hablar con la asistente de ann,CONTACT,contact_human_agent
quiero ayuda para listar tus modalidades de pago,PAYMENT,check_payment_methods
puedo dejar una reseña sobre un servicio,FEEDBACK,review
necesito ayuda para reportar problemas con un registro,ACCOUNT,registration_problems
actualizando la información de la cuenta freemium,ACCOUNT,edit_account
cómo puedo informar sobre problemas con el pago en línea,PAYMENT,payment_issue
necesito comprobar la comisión por retirada,CANCEL,check_cancellation_fee
no sé qué tengo que hacer para cerrar una cuenta estándar,ACCOUNT,delete_account
quiero ayuda para cambiar a la cuenta gold,ACCOUNT,switch_account
dónde puedo consultar los cargos por salida anticipada,CANCEL,check_cancellation_fee
existe alguna dirección para dejar un comentario sobre su empresa,FEEDBACK,review
intento eliminar una maldita cuenta estándar,ACCOUNT,delete_account
quiero saber en qué casos puedo solicitar un reembolso,REFUND,check_refund_policy
quiero ver el estado actual del pedido numero_pedido me puedes ayudar,ORDER,track_order
necesito ayuda para cambiar a la cuenta estándar,ACCOUNT,switch_account
modificar los detalles de la cuenta gold,ACCOUNT,edit_account
no puedo registrarme me gustaría informarles de un maldito problema con el registro,ACCOUNT,registration_problems
ayuda para ver las opciones de pago aceptadas,PAYMENT,check_payment_methods
quiero ayuda para actualizar la información de mi perfil,ACCOUNT,edit_account
quiero ayuda para saber cuándo llegará mi artículo,DELIVERY,delivery_period
no sé qué hacer para comprar varios artículos,ORDER,place_order
tengo problemas con el código pin perdido,ACCOUNT,recover_password
necesito presentar una maldita reclamación de consumidor cómo puedo hacerlo,FEEDBACK,complaint
demuestra tu garantía de devolución de dinero,REFUND,check_refund_policy
necesito ayuda para enviar algunos comentarios sobre sus servicios,FEEDBACK,review
necesito ver el cargo por cancelación cómo lo hago,CANCEL,check_cancellation_fee
estoy intentando notificar sobre problemas de registro,ACCOUNT,registration_problems
quiero ayuda para exigir reembolsos,REFUND,get_refund
cómo puedo consultar a qué hora puedo llamar al servicio de atención al cliente,CONTACT,contact_customer_service
ayuda para hablar con el servicio de atención al cliente,CONTACT,contact_customer_service
cómo puedo obtener una compensación por mi dinero,REFUND,get_refund
necesito ayuda para recuperar la contraseña de mi perfil,ACCOUNT,recover_password
necesito ayuda para resolver un problema con los pagos en línea,PAYMENT,payment_issue
ayuda para ver el estado del pedido numero_pedido,ORDER,track_order
quiero dejar algún comentario sobre un servicio,FEEDBACK,review
puedes ayudarme a eliminar un producto del pedido numero_pedido,ORDER,change_order
necesito ayuda para cancelar el pedido numero_pedido,ORDER,cancel_order
necesito ayuda para cancelar la compra numero_pedido,ORDER,cancel_order
no puedo hablar con un operador,CONTACT,contact_human_agent
cómo puedo comunicarme con el servicio de atención al cliente,CONTACT,contact_customer_service
consultar en qué horario puedo ponerme en contacto con el servicio de atención al cliente,CONTACT,contact_customer_service
cómo puedo hablar con un operador,CONTACT,contact_human_agent
necesito ayuda para consultar mi política de reembolsos,REFUND,check_refund_policy
ver factura de nombre_persona,INVOICE,check_invoice
necesito ayuda para enviar comentarios sobre un producto,FEEDBACK,review
necesito una cuenta tipo_cuenta diferente puedes crearla,ACCOUNT,create_account
problema al cancelar la compra numero_pedido,ORDER,cancel_order
quiero ayuda para recuperar la clave de acceso a mi cuenta,ACCOUNT,recover_password
intento informar de un error en el registro,ACCOUNT,registration_problems
espero un reembolso de simbolo_moneda monto_reembolso ya se procesó,REFUND,track_refund
abrir una cuenta estándar,ACCOUNT,create_account
ayúdenme a ver en qué casos puedo pedir un maldito reembolso,REFUND,check_refund_policy
qué debo hacer para enviar mi dirección de envío,SHIPPING,set_up_shipping_address
cómo puedo exigir el reembolso de mi dinero,REFUND,get_refund
no sé cómo recuperar mi maldito código pin de usuario,ACCOUNT,recover_password
quiero ver tu política de reembolsos me puedes ayudar,REFUND,check_refund_policy
tengo que comprar algunos de sus artículos,ORDER,place_order
puedo cambiar varios artículos del pedido numero_pedido,ORDER,change_order
consulta la tarifa por cancelación anticipada,CANCEL,check_cancellation_fee
no sé cómo puedo consultar el estado del reembolso,REFUND,track_refund
ayúdenme a presentar una reclamación de cliente contra su empresa,FEEDBACK,complaint
necesito ayuda para notificar problemas con los pagos en línea,PAYMENT,payment_issue
quiero agregar algo a la compra numero_pedido ayúdenme,ORDER,change_order
muéstrame el estado actual del pedido numero_pedido,ORDER,track_order
quiero ver el estado de mi compra numero_pedido necesito ayuda,ORDER,track_order
necesito ayuda para informar sobre problemas con los pagos en línea,PAYMENT,payment_issue
ayuda para restablecer la contraseña de mi perfil,ACCOUNT,recover_password
no sé cómo ver la fecha estimada de entrega de la compra numero_pedido,ORDER,track_order
no sé cómo informar de un problema de registro,ACCOUNT,registration_problems
qué debo hacer para ponerme en contacto con el servicio de atención al cliente,CONTACT,contact_customer_service
ayúdame a comprar varios artículos,ORDER,place_order
intento ver qué horario de atención al cliente está disponible,CONTACT,contact_customer_service
necesito notificar un maldito problema de registro,ACCOUNT,registration_problems
necesitas ayuda para presentar una reclamación contra tu empresa,FEEDBACK,complaint
no sé cómo puedo ver mi factura n 00108,INVOICE,check_invoice
no sé cómo cerrar la tipo_cuenta azccount,ACCOUNT,delete_account
quisiera informarles sobre problemas con los pagos en línea,PAYMENT,payment_issue
quiero ayuda para notificar problemas con el registro,ACCOUNT,registration_problems
me gustaría ganar dinero con varios productos cómo podría hacerlo,ORDER,place_order
ayúdame a enumerar las modalidades de pago que aceptas,PAYMENT,check_payment_methods
necesito ayuda para usar la cuenta estándar,ACCOUNT,switch_account
tengo que revisar las opciones de pago,PAYMENT,check_payment_methods
intento hablar con el servicio de atención al cliente,CONTACT,contact_customer_service
editar información en la cuenta premium,ACCOUNT,edit_account
cómo puedo consultar el estado actual del pedido numero_pedido,ORDER,track_order
me gustaría localizar el pedido numero_pedido necesito ayuda,ORDER,track_order
reembolsando simbolo_moneda monto_reembolso,REFUND,get_refund
tengo que comprobar el estado actual del reembolso ayúdenme,REFUND,track_refund
actualizando datos en la cuenta pro,ACCOUNT,edit_account
necesito ayuda para hablar con un agente humano,CONTACT,contact_human_agent
qué debo hacer para cerrar una cuenta estándar,ACCOUNT,delete_account
intento suscribirme al boletín informativo,SUBSCRIPTION,newsletter_subscription
ayúdenme a presentar una reclamación contra su organización,FEEDBACK,complaint
quiero enviar mi opinión sobre tus productos puedes ayudarme,FEEDBACK,review
puedes ayudarme a darme de baja del boletín informativo de tu empresa,SUBSCRIPTION,newsletter_subscription
ver qué opciones de pago están permitidas,PAYMENT,check_payment_methods
ayúdame a comprobar qué métodos de entrega tengo,DELIVERY,delivery_options
qué debo hacer para escribir una opinión sobre sus productos,FEEDBACK,review
dame información sobre los períodos de envío,DELIVERY,delivery_period
necesitas ayuda para enumerar tus modalidades de pago aceptadas,PAYMENT,check_payment_methods
dónde puedo indicar las opciones de pago que aceptan,PAYMENT,check_payment_methods
cancelar cuenta tipo_cuenta,ACCOUNT,delete_account
no sé qué debo hacer para consultar las opciones de pago,PAYMENT,check_payment_methods
no sé qué hacer para reportar problemas con los pagos,PAYMENT,payment_issue
llamo para consultar las opciones de envío,DELIVERY,delivery_options
no sé qué hacer para eliminar una maldita cuenta platino,ACCOUNT,delete_account
ayuda para saber en qué situaciones puedo solicitar un reembolso,REFUND,check_refund_policy
dónde puedo presentar una queja,FEEDBACK,complaint
tengo que cambiar a la cuenta tipo_cuenta,ACCOUNT,switch_account
necesito modificar la información de mi usuario podrías ayudarme,ACCOUNT,edit_account
quiero enumerar las malditas opciones de pago aceptadas cómo se hace,PAYMENT,check_payment_methods
no estoy satisfecho con su servicio y necesito ayuda para presentar una queja,FEEDBACK,complaint
utilizando la cuenta de oro,ACCOUNT,switch_account
necesito ayuda para informar sobre problemas con el pago,PAYMENT,payment_issue
quiero enviar mis comentarios necesito ayuda,FEEDBACK,review
cambiando la información de la cuenta tipo_cuenta,ACCOUNT,edit_account
necesitas ayuda para presentar una reclamación de cliente,FEEDBACK,complaint
