instruction,category,intent,source
qué debo hacer para notificar un problema con un registro,ACCOUNT,registration_problems,original
ayuda para recibir el reembolso de mi dinero,REFUND,get_refund,original
necesito recibir el boletín informativo de su empresa cómo puedo hacerlo,SUBSCRIPTION,newsletter_subscription,original
necesito ver las penalizaciones por cancelación me puedes ayudar,CANCEL,check_cancellation_fee,original
tengo que usar el maldito perfil tipo_cuenta necesito ayuda,ACCOUNT,switch_account,original
dame información sobre la cancelación de una cuenta tipo_cuenta,ACCOUNT,delete_account,original
tengo que restablecer el pin de mi usuario,ACCOUNT,recover_password,original
necesito ayuda para recuperar el código pin de mi cuenta de usuario,ACCOUNT,recover_password,original
quiero ayuda para enviar comentarios sobre un producto,FEEDBACK,review,original
podría consultar en qué casos puedo solicitar reembolsos,REFUND,check_refund_policy,original
crear una cuenta premium para esposa,ACCOUNT,create_account,original
no puedo editar el pedido numero_pedido,ORDER,change_order,original
no sé qué debo hacer para pedir varios artículos,ORDER,place_order,original
usuario creador de sypport,ACCOUNT,registration_problems,original
dónde puedo presentar una queja contra su empresa,FEEDBACK,complaint,original
cómo presentar una reclamación de un cliente,FEEDBACK,complaint,original
cómo puedo presentar una queja contra su organización,FEEDBACK,complaint,original
quiero reportar un problema con los pagos en línea,PAYMENT,payment_issue,original
no encuentro las penalizaciones por rescisión anticipada,CANCEL,check_cancellation_fee,original
cómo puedo ver la fecha estimada de entrega del pedido numero_pedido,ORDER,track_order,original
necesito ayuda para ver las tarifas de cancelación,CANCEL,check_cancellation_fee,original
tengo que conseguir reembolsos,REFUND,get_refund,original
tengo que comprar varios de sus artículos,ORDER,place_order,original
mostrándome el estado del pedido numero_pedido,ORDER,track_order,original
no sé cómo podría obtener la factura de nombre_persona,INVOICE,get_invoice,original
me gustaría cancelar la compra numero_pedido,ORDER,cancel_order,original
tengo que introducir una dirección de entrega ayúdenme,SHIPPING,set_up_shipping_address,original
no puedo darme de baja de su boletín corporativo,SUBSCRIPTION,newsletter_subscription,original
estoy intentando encontrar información sobre cómo modificar la dirección,SHIPPING,change_shipping_address,original
necesito ver su política de reembolsos necesito ayuda,REFUND,check_refund_policy,original
quiero consultar las opciones de envío me pueden ayudar,DELIVERY,delivery_options,original
no sé cómo consultar el estado actual del reembolso,REFUND,track_refund,original
tengo que informar sobre problemas de registro,ACCOUNT,registration_problems,original
consultar los cargos por cancelación,CANCEL,check_cancellation_fee,original
cómo puedo presentar una reclamación contra su empresa,FEEDBACK,complaint,original
tienen un número gratuito para contactar con el servicio de atención al cliente,CONTACT,contact_customer_service,original
cancelación del pedido numero_pedido,ORDER,cancel_order,original
quiero ayuda para saber cuándo puedo esperar mi producto,DELIVERY,delivery_period,original
ayuda para comprar algunos de tus artículos,ORDER,place_order,original
cambio a cuenta estándar,ACCOUNT,switch_account,original
es posible actualizar el pedido numero_pedido,ORDER,change_order,original
ayuda para redactar un comentario sobre sus productos,FEEDBACK,review,original
dónde presentar una reclamación de un cliente contra su empresa,FEEDBACK,complaint,original
necesito hablar con el servicio de atención al cliente pueden ayudarme,CONTACT,contact_customer_service,original
dónde puedo enviar comentarios sobre sus productos,FEEDBACK,review,original
estado actual de la compra numero_pedido,ORDER,track_order,original
podrías ayudarme a presentar una reclamación,FEEDBACK,complaint,original
no sé qué hacer para chatear con alguien,CONTACT,contact_human_agent,original
ayúdame a notificar los errores en los registros,ACCOUNT,registration_problems,original
editar información en la cuenta tipo_cuenta,ACCOUNT,edit_account,original
cómo puedo hablar con un agente humano,CONTACT,contact_human_agent,original
ayúdame a agregar un maldito artículo a la compra numero_pedido,ORDER,change_order,original
no puedo pagar la compra numero_pedido cómo puedo cancelarla,ORDER,cancel_order,original
tengo que ver las opciones de pago cómo se hace,PAYMENT,check_payment_methods,original
tengo que ver cuánto tardan los reembolsos cómo lo hago,REFUND,check_refund_policy,original
quiero ayuda para modificar la dirección de envío,SHIPPING,change_shipping_address,original
tengo un problema al cancelar el pedido numero_pedido,ORDER,cancel_order,original
necesito ayuda para obtener la restitución de mi dinero,REFUND,get_refund,original
tengo que recuperar mi código pin,ACCOUNT,recover_password,original
editando información en la cuenta tipo_cuenta,ACCOUNT,edit_account,original
puedes redirigirme a alguien,CONTACT,contact_human_agent,original
dónde puedo ver la fecha estimada de entrega de la compra numero_pedido,ORDER,track_order,original
abrir una nueva cuenta de tipo_cuenta,ACCOUNT,create_account,original
tengo que cerrar una cuenta premium necesito ayuda,ACCOUNT,delete_account,original
no sé cómo abrir una cuenta tipo_cuenta para mi hija,ACCOUNT,create_account,original
no puedo consultar el estado actual del reembolso,REFUND,track_refund,original
quiero ayuda para cerrar mi cuenta tipo_cuenta,ACCOUNT,delete_account,original
no sé cómo ver el cargo por retiro,CANCEL,check_cancellation_fee,original
dónde puedo saber si hay alguna novedad sobre el reembolso,REFUND,track_refund,original
dónde puedo ver las comisiones por retiro,CANCEL,check_cancellation_fee,original
cerrar cuenta tipo_cuenta,ACCOUNT,delete_account,original
estoy intentando ver cuándo llegará mi artículo,DELIVERY,delivery_period,original
podrías ayudarme a cancelar mi suscripción al boletín informativo,SUBSCRIPTION,newsletter_subscription,original
puedo cambiar varios artículos de la compra numero_pedido,ORDER,change_order,original
necesito ayuda para comprar algunos de sus artículos,ORDER,place_order,original
no puedo realizar pagos cómo puedo informar sobre problemas con el pago,PAYMENT,payment_issue,original
es posible ver las facturas de nombre_persona,INVOICE,check_invoice,original
introduzca la dirección de envío secundaria,SHIPPING,set_up_shipping_address,original
dónde adquirir algunos de sus artículos,ORDER,place_order,original
necesito ayuda para ver qué métodos de entrega ofrecen,DELIVERY,delivery_options,original
necesito ayuda para comprobar la fecha estimada de entrega de la compra numero_pedido,ORDER,track_order,original
editar pedido numero_pedido,ORDER,change_order,original
quiero ayuda para comprobar las penalizaciones por salida anticipada,CANCEL,check_cancellation_fee,original
quiero ayuda para abrir una cuenta premium,ACCOUNT,create_account,original
quiero hablar con el maldito servicio de atención al cliente ayúdenme,CONTACT,contact_customer_service,original
cómo puedo listar los métodos de pago permitidos,PAYMENT,check_payment_methods,original
no sé cómo contactar con un agente,CONTACT,contact_human_agent,original
no sé cómo puedo corregir la información del usuario,ACCOUNT,edit_account,original
necesito ayuda para actualizar mi dirección de envío,SHIPPING,change_shipping_address,original
quiero comprar varios de sus artículos cómo puedo hacerlo,ORDER,place_order,original
quiero adquirir varios de sus artículos,ORDER,place_order,original
podrías ayudarme a echar un vistazo rápido a mi factura n 00108,INVOICE,check_invoice,original
cómo puedo consultar qué métodos de envío puedo elegir,DELIVERY,delivery_options,original
intento corregir el pedido numero_pedido,ORDER,change_order,original
no sé cómo localizar el pedido numero_pedido,ORDER,track_order,original
bichos de nombre_persona,INVOICE,check_invoice,original
reportando problema abriendo usuario,ACCOUNT,registration_problems,original
quiero cambiar a la cuenta freemium podrías ayudarme,ACCOUNT,switch_account,original
quiero ayuda para hablar con alguien,CONTACT,contact_human_agent,original
no sé cómo puedo consultar la penalización por cancelación,CANCEL,check_cancellation_fee,original
necesito ayuda para recuperar mi código pin de perfil,ACCOUNT,recover_password,original
puedo modificar el número de pedido,ORDER,change_order,original
necesito ayuda para modificar la compra numero_pedido,ORDER,change_order,original
mi dirección ha cambiado podrías ayudarme a actualizarla,SHIPPING,change_shipping_address,original
necesitas ayuda para suscribirte al boletín informativo,SUBSCRIPTION,newsletter_subscription,original
tengo que pedir algunos artículos me puedes ayudar,ORDER,place_order,original
estoy tratando de averiguar en qué casos puedo solicitar un reembolso,REFUND,check_refund_policy,original
usar cuenta de oro,ACCOUNT,switch_account,original
consultar el tiempo estimado de llegada del pedido numero_pedido,ORDER,track_order,original
estoy intentando cancelar el pedido numero_pedido,ORDER,cancel_order,original
olvidé mi pin de perfil de usuario puedo recuperarlo,ACCOUNT,recover_password,original
necesito ayuda para cancelar la cuenta tipo_cuenta,ACCOUNT,delete_account,original
no sé qué hacer para contactar con un agente en directo,CONTACT,contact_human_agent,original
necesito hablar con el servicio de atención al cliente cómo lo hago,CONTACT,contact_customer_service,original
quiero ayuda para enviar mis comentarios,FEEDBACK,review,original
podrías darme más información sobre cómo crear cuentas de tipo_cuenta,ACCOUNT,create_account,original
no sé cómo configurar la dirección de entrega,SHIPPING,set_up_shipping_address,original
tienes una sección para enviar mis comentarios sobre tus productos,FEEDBACK,review,original
no sé cómo puedo eliminar la maldita cuenta estándar,ACCOUNT,delete_account,original
podrías ayudarme a ponerme en contacto con el servicio de atención al cliente,CONTACT,contact_customer_service,original
mira la maldita factura de nombre_persona,INVOICE,check_invoice,original
tengo una pregunta sobre la recuperación de un código pin,ACCOUNT,recover_password,original
editar datos en la cuenta premium,ACCOUNT,edit_account,original
quiero ayuda para cambiar algunos productos de compra numero_pedido,ORDER,change_order,original
apertura de cuenta platino,ACCOUNT,create_account,original
quiero comprar un producto,ORDER,place_order,original
quiero ayuda para ver el estado actual de la compra numero_pedido,ORDER,track_order,original
cómo puedo ponerme en contacto con el servicio de atención al cliente,CONTACT,contact_customer_service,original
es posible realizar un pedido desde ciudad_entrega,DELIVERY,delivery_options,original
tengo que descargar la factura de nombre_persona,INVOICE,get_invoice,original
necesito ayuda para reclamar un reembolso de dinero,REFUND,get_refund,original
ayúdame a cancelar mi suscripción al boletín informativo,SUBSCRIPTION,newsletter_subscription,original
quiero información sobre los plazos de entrega cómo puedo obtenerla,DELIVERY,delivery_period,original
es posible ver la tarifa de cancelación,CANCEL,check_cancellation_fee,original
necesito crear una cuenta gold,ACCOUNT,create_account,original
necesito ayuda para pedir varios de sus productos,ORDER,place_order,original
asistencia para presentar una reclamación de consumidor contra nuestra empresa,FEEDBACK,complaint,original
problema con la cancelación de cuentas freemium,ACCOUNT,delete_account,original
no sé cómo puedo obtener una compensación por mi dinero,REFUND,get_refund,original
estoy experimentando errores al registrarme qué debo hacer,ACCOUNT,registration_problems,original
asistencia para comprar varios de sus artículos,ORDER,place_order,original
podrías ayudarme a recibir un reembolso de dinero,REFUND,get_refund,original
problema con la eliminación de una cuenta freemium,ACCOUNT,delete_account,original
cambio de datos en la cuenta tipo_cuenta,ACCOUNT,edit_account,original
tengo que recuperar la contraseña de mi perfil de usuario,ACCOUNT,recover_password,original
quiero enumerar los métodos de pago disponibles me puedes ayudar,PAYMENT,check_payment_methods,original
ayuda para cancelar la compra numero_pedido,ORDER,cancel_order,original
notificar errores en el registro en línea,ACCOUNT,registration_problems,original
es necesario verificar la comisión por retiro,CANCEL,check_cancellation_fee,original
no sé qué hacer para descargar la factura 85632,INVOICE,get_invoice,original
es posible hablar con el servicio de atención al cliente,CONTACT,contact_customer_service,original
necesito recuperar mi contraseña,ACCOUNT,recover_password,original
cómo se enumeran las modalidades de pago permitidas,PAYMENT,check_payment_methods,original
tengo un problema al enviar la dirección de entrega,SHIPPING,set_up_shipping_address,original
tengo una pregunta sobre cómo corregir el pedido numero_pedido,ORDER,change_order,original
no sé qué tengo que hacer para corregir mi dirección,SHIPPING,change_shipping_address,original
es posible cancelar la compra numero_pedido,ORDER,cancel_order,original
puedes ayudarme a solicitar el reembolso de mi dinero,REFUND,get_refund,original
no sé cómo puedo escribir una opinión sobre un producto,FEEDBACK,review,original
tengo que dejar una opinión sobre su empresa,FEEDBACK,review,original
hay un problema al intentar cambiar la dirección de entrega,SHIPPING,change_shipping_address,original
es posible notificar problemas con un registro,ACCOUNT,registration_problems,original
no sé qué hacer para solicitar una compensación económica,REFUND,get_refund,original
cómo puedo reportar problemas con los pagos en línea,PAYMENT,payment_issue,original
cambiar datos en la cuenta platino,ACCOUNT,edit_account,original
no sé cómo actualizar mi información personal,ACCOUNT,edit_account,original
estoy intentando averiguar en qué horario puedo contactar con el servicio de atención al cliente,CONTACT,contact_customer_service,original
necesito ayuda para saber en qué casos puedo solicitar un reembolso,REFUND,check_refund_policy,original
no sé cómo puedo reportar un error con el pago,PAYMENT,payment_issue,original
cómo recupero mi maldita clave de acceso,ACCOUNT,recover_password,original
quiero ayuda para cancelar mi cuenta de tipo_cuenta,ACCOUNT,delete_account,original
necesito cambiar la dirección me ayudas,SHIPPING,change_shipping_address,original
cómo corregir roder numero_pedido,ORDER,change_order,original
actualizar datos en la cuenta freemium,ACCOUNT,edit_account,original
tengo que ver la tarifa de cancelación,CANCEL,check_cancellation_fee,original
edición de datos en cuenta premium,ACCOUNT,edit_account,original
estoy intentando chatear con alguien,CONTACT,contact_human_agent,original
necesito hablar con el servicio de atención al cliente cómo puedo hacerlo,CONTACT,contact_customer_service,original
intento hablar con un agente,CONTACT,contact_human_agent,original
no sé cómo recuperar mi contraseña de usuario,ACCOUNT,recover_password,original
qué debo hacer para reportar un problema con el pago en línea,PAYMENT,payment_issue,original
no tengo una cuenta de tipo_cuenta cómo podría registrarme,ACCOUNT,create_account,original
no sé cómo cancelar la compra numero_pedido,ORDER,cancel_order,original
puedes ayudarme a resolver problemas con el pago,PAYMENT,payment_issue,original
puedes ayudarme a exigir un reembolso,REFUND,get_refund,original
quiero que assistanec deje una opinión,FEEDBACK,review,original
dónde puedo presentar una reclamación de cliente contra su empresa,FEEDBACK,complaint,original
dónde puedo obtener información sobre cómo abrir una cuenta pro,ACCOUNT,create_account,original
tienen un número gratuito para hablar con el servicio de atención al cliente,CONTACT,contact_customer_service,original
puedo consultar el estado de mi indemnización,REFUND,track_refund,original
existe alguna forma de enviar una opinión sobre sus productos,FEEDBACK,review,original
ayúdenme a solicitar el reembolso de mi dinero,REFUND,get_refund,original
problemas con las cancelaciones de cuentas de tipo_cuenta,ACCOUNT,delete_account,original
estoy intentando actualizar la compra numero_pedido,ORDER,change_order,original
es posible ver la fecha estimada de entrega de la compra numero_pedido,ORDER,track_order,original
cómo utilizo la cuenta premium,ACCOUNT,switch_account,original
espero un reembolso de simbolo_moneda monto_reembolso,REFUND,track_refund,original
cómo puedo consultar la maldita factura de nombre_persona,INVOICE,check_invoice,original
no puedo configurar la dirección de entrega,SHIPPING,set_up_shipping_address,original
estoy intentando ponerme en contacto con el maldito servicio de atención al cliente,CONTACT,contact_customer_service,original
necesito ayuda para comprar algunos de sus productos,ORDER,place_order,original
quiero ver su política de reembolso necesito ayuda,REFUND,check_refund_policy,original
obtenga la factura n 12588,INVOICE,get_invoice,original
es posible realizar un pedido desde ciudad_entrega,DELIVERY,delivery_options,original
cómo puedo consultar el horario de atención al cliente,CONTACT,contact_customer_service,original
tengo una pregunta sobre el pago,PAYMENT,payment_issue,original
no sé cómo puedo consultar las penalizaciones por retirada,CANCEL,check_cancellation_fee,original
no estoy satisfecho con su trabajo necesito ayuda para presentar una reclamación,FEEDBACK,complaint,original
no sé cómo crear una cuenta platino,ACCOUNT,create_account,original
no sé cómo podría consultar la fecha estimada de entrega de la compra numero_pedido,ORDER,track_order,original
dónde puedo consultar qué opciones de envío están disponibles,DELIVERY,delivery_options,original
tengo un problema con la eliminación de cuentas platino,ACCOUNT,delete_account,original
intento averiguar en qué casos puedo solicitar un reembolso,REFUND,check_refund_policy,original
cómo puedo consultar la penalización por retiro,CANCEL,check_cancellation_fee,original
no sé qué tengo que hacer para comprar un artículo,ORDER,place_order,original
no sé cómo chatear con alguien,CONTACT,contact_human_agent,original
ayúdenme a corregir la maldita información de mi cuenta de usuario,ACCOUNT,edit_account,original
puedes ayudarme a presentar una reclamación como consumidor,FEEDBACK,complaint,original
ayúdame a comprar algunos productos,ORDER,place_order,original
ya no puedo permitirme comprar numero_pedido,ORDER,cancel_order,original
necesito ayuda para cancelar la compra numero_pedido,ORDER,cancel_order,original
puedo hacer un pedido desde ciudad_entrega,DELIVERY,delivery_options,original
no recuerdo la contraseña de mi cuenta dónde puedo restablecerla,ACCOUNT,recover_password,original
necesito ayuda para notificar problemas con un registro,ACCOUNT,registration_problems,original
no sé qué tengo que hacer para eliminar mi cuenta platino,ACCOUNT,delete_account,original
modificar la información de la cuenta platino,ACCOUNT,edit_account,original
ayuda para informar sobre problemas con los pagos,PAYMENT,payment_issue,original
dónde puedo consultar los gastos de cancelación,CANCEL,check_cancellation_fee,original
métodos de pago aceptados,PAYMENT,check_payment_methods,original
necesito consultar la tarifa por cancelación anticipada,CANCEL,check_cancellation_fee,original
editar cuenta premium,ACCOUNT,edit_account,original
no encuentro información sobre las penalizaciones por despido,CANCEL,check_cancellation_fee,original
quiero saber cuándo puedo esperar mi artículo,DELIVERY,delivery_period,original
muéstrame mis facturas de nombre_persona,INVOICE,check_invoice,original
obtener facturas de nombre_persona,INVOICE,get_invoice,original
necesito ayuda para solucionar errores con los pagos,PAYMENT,payment_issue,original
no sé cómo puedo ver mis facturas de nombre_persona,INVOICE,check_invoice,original
puedes mostrarme la fecha estimada de entrega del pedido numero_pedido,ORDER,track_order,original
estoy esperando un reembolso de simbolo_moneda monto_reembolso fue procesado,REFUND,track_refund,original
puedo crear una cuenta gold,ACCOUNT,create_account,original
tengo que enviar una nueva dirección de envío necesito ayuda,SHIPPING,set_up_shipping_address,original
existe alguna dirección de correo electrónico para enviar comentarios sobre sus servicios,FEEDBACK,review,original
dónde puedo cancelar la compra numero_pedido,ORDER,cancel_order,original
me gustaría cerrar mi cuenta gold ayúdenme,ACCOUNT,delete_account,original
podrías ayudarme a saber en qué casos puedo solicitar un reembolso,REFUND,check_refund_policy,original
ayúdame a resolver problemas con los pagos,PAYMENT,payment_issue,original
quiero ganar algo de tu artículo me ayudarás,ORDER,place_order,original
podrías ayudarme a resolver problemas con el pago en línea,PAYMENT,payment_issue,original
quiero un testigo para cerrar una cuenta de tipo_cuenta,ACCOUNT,delete_account,original
puedes ayudarme a comprobar la maldita penalización por cancelación,CANCEL,check_cancellation_fee,original
dónde voy a recibir la maldita compensación por mi dinero,REFUND,get_refund,original
cuál es el estado actual del pedido numero_pedido,ORDER,track_order,original
podrías ayudarme a ver las tarifas por cancelación anticipada,CANCEL,check_cancellation_fee,original
podría informarme sobre una actualización de la dirección de entrega,SHIPPING,change_shipping_address,original
pagué simbolo_moneda monto_reembolso por un producto dónde puedo obtener un maldito reembolso,REFUND,get_refund,original
no me ayudas en absoluto tengo que hablar con alguien,CONTACT,contact_human_agent,original
ayúdame a comprobar qué opciones de entrega tengo,DELIVERY,delivery_options,original
puedo chatear con una persona,CONTACT,contact_human_agent,original
modificar la cuenta tipo_cuenta,ACCOUNT,edit_account,original
tengo que comprobar a qué hora puedo contactar con atención al cliente,CONTACT,contact_customer_service,original
problemas con las cancelaciones de cuentas de tipo_cuenta,ACCOUNT,delete_account,original
actualizando detalles en la cuenta tipo_cuenta,ACCOUNT,edit_account,original
editar información en la cuenta tipo_cuenta,ACCOUNT,edit_account,original
ayuda para chatear con una persona,CONTACT,contact_human_agent,original
es posible cancelar la compra numero_pedido,ORDER,cancel_order,original
llamo para presentar una maldita reclamación,FEEDBACK,complaint,original
necesito ayuda para chatear con una persona,CONTACT,contact_human_agent,original
necesito ayuda para obtener mi factura n 12588,INVOICE,get_invoice,original
ayúdame a revisar las penalizaciones por rescisión anticipada,CANCEL,check_cancellation_fee,original
dónde puedo cambiar a la cuenta tipo_cuenta,ACCOUNT,switch_account,original
cómo puedo notificar los problemas que surjan al registrarme,ACCOUNT,registration_problems,original
no sé qué debo hacer para cerrar una cuenta pro,ACCOUNT,delete_account,original
no entiendo ni una palabra de lo que dices puedo contactar con alguien,CONTACT,contact_human_agent,original
cómo puedo ver el estado de la compra numero_pedido,ORDER,track_order,original
quiero ayuda para solicitar un reembolso de dinero,REFUND,get_refund,original
tengo que ver qué tan pronto puedo esperar el envío necesito ayuda,DELIVERY,delivery_period,original
pregunta sobre la cancelación del pedido numero_pedido,ORDER,cancel_order,original
intento presentar una reclamación contra su organización,FEEDBACK,complaint,original
ayuda para informar de un problema con el registro,ACCOUNT,registration_problems,original
no puedo cancelar mi suscripción al boletín informativo de su empresa,SUBSCRIPTION,newsletter_subscription,original
estoy teniendo problemas para registrarme ayúdenme,ACCOUNT,registration_problems,original
ayuda para cerrar mi cuenta de tipo_cuenta,ACCOUNT,delete_account,original
ayuda con una modificación de dirección,SHIPPING,change_shipping_address,original
necesito ayuda para cambiar a la cuenta tipo_cuenta,ACCOUNT,switch_account,original
realizan envíos a ciudad_entrega,DELIVERY,delivery_options,original
cómo puedo cancelar mi suscripción al boletín informativo de su empresa,SUBSCRIPTION,newsletter_subscription,original
cómo puedo comprobar cuánto tarda en llegar mi paquete,DELIVERY,delivery_period,original
puedo presentar una reclamación como consumidor contra su empresa,FEEDBACK,complaint,original
ayuda para saber en qué casos puedo solicitar reembolsos,REFUND,check_refund_policy,original
puedo presentar una queja de cliente,FEEDBACK,complaint,original
estoy intentando conseguir las malditas facturas de nombre_persona,INVOICE,get_invoice,original
puedes ayudarme a hablar con alguien,CONTACT,contact_human_agent,original
necesitas ayuda para consultar tus modalidades de pago aceptadas,PAYMENT,check_payment_methods,original
necesito ayuda para cancelar el pedido numero_pedido,ORDER,cancel_order,original
quiero ayuda para notificar un maldito problema de registro,ACCOUNT,registration_problems,original
quiero ayuda para intentar modificar mi dirección de envío,SHIPPING,change_shipping_address,original
asistencia para ver la factura de nombre_persona,INVOICE,check_invoice,original
quiero ayuda para comunicarme con el servicio de atención al cliente,CONTACT,contact_customer_service,original
dónde puedo pedir algunos artículos,ORDER,place_order,original
pregunta sobre cómo cancelar una compra sangrienta,ORDER,cancel_order,original
ayúdame a echar un vistazo rápido a mi factura n 12588,INVOICE,check_invoice,original
quiero ayuda para modificar mi dirección,SHIPPING,change_shipping_address,original
tengo problemas para configurar la dirección de envío secundaria,SHIPPING,set_up_shipping_address,original
quiero ayuda para saber cuándo llegará mi paquete,DELIVERY,delivery_period,original
mostrar cargos por cancelación,CANCEL,check_cancellation_fee,original
ayuda para usar la cuenta tipo_cuenta,ACCOUNT,switch_account,original
quiero ayuda para ver las tarifas de cancelación,CANCEL,check_cancellation_fee,original
quiero ver el pedido numero_pedido maldita sea estado actual ayúdame,ORDER,track_order,original
necesito saber a qué hora está disponible el servicio al cliente,CONTACT,contact_customer_service,original
ayuda para usar la cuenta freemium,ACCOUNT,switch_account,original
quiero ayuda para enviar mis comentarios sobre un servicio,FEEDBACK,review,original
muéstrame mi estado de restitución,REFUND,track_refund,original
dónde puedo obtener información sobre el código pin perdido,ACCOUNT,recover_password,original
no sé qué hacer para obtener un reembolso,REFUND,get_refund,original
no uso mi cuenta gold quiero ayuda para eliminarla,ACCOUNT,delete_account,original
qué debo hacer para recibir el boletín informativo,SUBSCRIPTION,newsletter_subscription,original
intento comprar algunos artículos malditos,ORDER,place_order,original
cómo puedo consultar rápidamente mi factura n 12588,INVOICE,check_invoice,original
no sé cómo reportar un error de registro,ACCOUNT,registration_problems,original
puedes ayudarme a corregir la dirección de envío,SHIPPING,change_shipping_address,original
cómo puedo cancelar mi suscripción a su boletín informativo corporativo,SUBSCRIPTION,newsletter_subscription,original
no sé qué debo hacer para exigir un reembolso,REFUND,get_refund,original
verifica en qué situaciones puedo solicitar reembolsos,REFUND,check_refund_policy,original
ayuda para restablecer la contraseña de mi perfil,ACCOUNT,recover_password,original
podrías indicarme cuánto tarda en llegar mi pedido,DELIVERY,delivery_period,original
puedo realizar un pedido desde ciudad_entrega,DELIVERY,delivery_options,original
necesitas ayuda para enumerar tus modalidades de pago disponibles,PAYMENT,check_payment_methods,original
ayúdame a cambiar la compra numero_pedido,ORDER,change_order,original
estoy intentando pedir algunos de sus productos,ORDER,place_order,original
reembolsando monto_reembolso dólares,REFUND,get_refund,original
necesito ayuda para crear una cuenta de tipo_cuenta,ACCOUNT,create_account,original
quiero ayuda para editar la compra numero_pedido,ORDER,change_order,original
necesito ayuda para cancelar la compra numero_pedido,ORDER,cancel_order,original
dejar una reseña para un servicio,FEEDBACK,review,original
no sé cómo puedo ver su garantía de devolución de dinero,REFUND,check_refund_policy,original
sepan si hay alguna novedad sobre mi reembolso,REFUND,track_refund,original
ayuda para comprobar en qué situaciones puedo solicitar reembolsos,REFUND,check_refund_policy,original
no sé qué debo hacer para descargar la factura n 00108,INVOICE,get_invoice,original
estoy intentando informar de un error de pago,PAYMENT,payment_issue,original
puedo usar la cuenta tipo_cuenta,ACCOUNT,switch_account,original
podría darme más información sobre un cambio de dirección,SHIPPING,change_shipping_address,original
es posible recibir reembolsos de dinero,REFUND,get_refund,original
estoy intentando suscribirme al boletín informativo,SUBSCRIPTION,newsletter_subscription,original
puedes indicarme quién es un asistente,CONTACT,contact_human_agent,original
quisiera solicitar un reembolso,REFUND,get_refund,original
intento averiguar en qué casos puedo solicitar reembolsos,REFUND,check_refund_policy,original
tengo un problema al ingresar la dirección de envío secundaria,SHIPPING,set_up_shipping_address,original
necesito obtener mi factura de nombre_persona podría ayudarme,INVOICE,get_invoice,original
necesito ayuda para cambiar la dirección de entrega,SHIPPING,change_shipping_address,original
no sé cómo puedo configurar mi nueva dirección de envío,SHIPPING,set_up_shipping_address,original
cambio de datos en la cuenta tipo_cuenta,ACCOUNT,edit_account,original
puedes ayudarme a encontrar las facturas de nombre_persona,INVOICE,check_invoice,original
asistencia mediante chat con un agente en vivo,CONTACT,contact_human_agent,original
me gustaría cancelar la suscripción al boletín informativo,SUBSCRIPTION,newsletter_subscription,original
quiero escribir una reseña sobre su empresa cómo puedo hacerlo,FEEDBACK,review,original
tengo que descargar mi factura 12588,INVOICE,get_invoice,original
cancelar pedido numero_pedido,ORDER,cancel_order,original
podrías ayudarme a darme de baja del boletín informativo de la empresa,SUBSCRIPTION,newsletter_subscription,original
ver estado de la compra numero_pedido,ORDER,track_order,original
quiero ayuda para ver las modalidades de pago,PAYMENT,check_payment_methods,original
no sé cómo pedir varios de tus artículos,ORDER,place_order,original
no puedo permitirme comprar numero_pedido,ORDER,cancel_order,original
necesito darme de baja del boletín informativo cómo puedo hacerlo,SUBSCRIPTION,newsletter_subscription,original
tienen algún método para dejar una opinión sobre sus servicios,FEEDBACK,review,original
necesito ayuda para ver su política de reembolsos,REFUND,check_refund_policy,original
ayuda para solucionar un maldito error con los pagos en línea,PAYMENT,payment_issue,original
cómo dejar mi opinión sobre un producto,FEEDBACK,review,original
necesito ayuda para ver las tarifas de cancelación,CANCEL,check_cancellation_fee,original
no sé qué tengo que hacer para eliminar la cuenta tipo_cuenta,ACCOUNT,delete_account,original
necesito cambiar algo de la compra numero_pedido,ORDER,change_order,original
ayuda para hablar con un agente,CONTACT,contact_human_agent,original
tienes una dirección para dejar comentarios sobre tu empresa,FEEDBACK,review,original
no puedo editar mi dirección de entrega,SHIPPING,change_shipping_address,original
no sé cómo puedo descargar mi factura n 12588,INVOICE,get_invoice,original
quiero ayuda para cambiar un producto comprado con el número numero_pedido,ORDER,change_order,original
modificando detalles en la cuenta tipo_cuenta,ACCOUNT,edit_account,original
ver facturas de la sra hawkings,INVOICE,check_invoice,original
ayudar a exigir reembolsos de dinero,REFUND,get_refund,original
no sé cómo puedo ver sus modalidades de pago,PAYMENT,check_payment_methods,original
no puedo abrir una cuenta ayúdenme a notificar un problema de registro,ACCOUNT,registration_problems,original
necesito adquirir algunos artículos,ORDER,place_order,original
podrías ayudarme a ver qué métodos de pago están permitidos,PAYMENT,check_payment_methods,original
quiero ayuda para ver qué métodos de pago están permitidos,PAYMENT,check_payment_methods,original
obtener ibll 85632,INVOICE,get_invoice,original
necesito ayuda para comprar un producto,ORDER,place_order,original
cancelando la cuenta tipo_cuenta,ACCOUNT,delete_account,original
no puedo tener sexo con alguien,CONTACT,contact_human_agent,original
penalizaciones por cancelación del espectáculo,CANCEL,check_cancellation_fee,original
no puedo chatear con alguien,CONTACT,contact_human_agent,original
es posible notificar los errores que se produzcan al registrarse,ACCOUNT,registration_problems,original
olvidé incluir un artículo en la compra numero_pedido,ORDER,change_order,original
puedo editar la compra numero_pedido,ORDER,change_order,original
no sé cómo puedo localizar mis facturas de nombre_persona,INVOICE,check_invoice,original
