instruction,category,intent,instruction_es
I want help to remove some products from order {{Order Number}},ORDER,change_order,Quiero ayuda para eliminar algunos productos del pedido {{Número de pedido}}.
I want help checking the restitution current status,REFUND,track_refund,Quiero ayuda para verificar el estado actual de la restitución.
I do not know what to do to check the termination penalties,CANCEL,check_cancellation_fee,No sé qué hacer para comprobar las penalizaciones por rescisión.
assistance seeing what options for delivery are there,DELIVERY,delivery_options,asistencia para ver qué opciones de entrega hay
I don't know what to do to cancel the standard account,ACCOUNT,delete_account,No sé qué hacer para cancelar la cuenta estándar.
change details on gold account,ACCOUNT,edit_account,cambiar detalles en la cuenta de oro
how can I list your available payment methods?,PAYMENT,check_payment_methods,¿Cómo puedo consultar los métodos de pago disponibles?
"I have entered a wrong delivery address, help me changing it",SHIPPING,change_shipping_address,"He introducido una dirección de entrega incorrecta, ayúdame a cambiarla."
want assistance to download my invoice #12588,INVOICE,get_invoice,Necesito ayuda para descargar mi factura n.° 12588.
I want help to acquire a few of your product,ORDER,place_order,Quiero ayuda para adquirir algunos de sus productos.
want supports trying to modify the address,SHIPPING,change_shipping_address,quieren soportes intentando modificar la dirección
"I want to check your money back guarantee, I need help",REFUND,check_refund_policy,"Quiero comprobar su garantía de devolución de dinero, necesito ayuda."
help me check how long it takes for the package to arrive,DELIVERY,delivery_period,Ayúdame a comprobar cuánto tarda en llegar el paquete.
"I want to see the delivery methods, help me",DELIVERY,delivery_options,"Quiero ver los métodos de entrega, ayúdenme"
want help seeing the accepted payment methods,PAYMENT,check_payment_methods,¿Necesitas ayuda para ver los métodos de pago aceptados?
problems creating profile,ACCOUNT,registration_problems,problemas al crear el perfil
"I have got to see how long refunds take, help me",REFUND,check_refund_policy,"Tengo que ver cuánto tardan los reembolsos, ayúdenme"
seeing accepted payment modalities,PAYMENT,check_payment_methods,ver las modalidades de pago aceptadas
I want help changing my address,SHIPPING,change_shipping_address,Quiero ayuda para cambiar mi dirección.
I don't know what to do to get the bills from {{Person Name}},INVOICE,get_invoice,No sé qué hacer para obtener las facturas de {{Nombre de la persona}}.
where do I check the early termination charges?,CANCEL,check_cancellation_fee,¿Dónde puedo consultar los cargos por cancelación anticipada?
how to earn several articles,ORDER,place_order,cómo ganar varios artículos
i have to inform of a payment issue,PAYMENT,payment_issue,Tengo que informar de un problema con el pago.
update {{Account Type}} account,ACCOUNT,edit_account,Actualizar la cuenta {{Tipo de cuenta}}
can i make a consumer reclamation,FEEDBACK,complaint,¿Puedo presentar una reclamación como consumidor?
how do i retrieve the pin code of myaccount,ACCOUNT,recover_password,¿Cómo puedo recuperar el código PIN de mi cuenta?
I'd like to recover the key of my user account,ACCOUNT,recover_password,Me gustaría recuperar la clave de mi cuenta de usuario.
i dont know how i can switch to the {{Account Type}} acount,ACCOUNT,switch_account,No sé cómo puedo cambiar a la cuenta {{Account Type}}
"I have to see the ETA of the order {{Order Number}}, help me",ORDER,track_order,"Necesito ver la fecha estimada de entrega del pedido {{Número de pedido}}, ayúdenme."
i expect a compensation of1200 dollars has it been processed,REFUND,track_refund,Espero una compensación de 1200 dólares. ¿Ha sido procesada?
I need help solving errors with online paymnt,PAYMENT,payment_issue,Necesito ayuda para solucionar errores con los pagos en línea.
where to check at what time I can reach customer support?,CONTACT,contact_customer_service,¿Dónde puedo consultar el horario de atención al cliente?
where to make a customer complaint against ur company,FEEDBACK,complaint,dónde presentar una queja de cliente contra su empresa
I cannot find the termination charge,CANCEL,check_cancellation_fee,No encuentro el cargo por cancelación.
how do i see the early exit charges,CANCEL,check_cancellation_fee,¿Cómo puedo ver los cargos por cancelación anticipada?
"I have got to order a few of your item, how do I do it?",ORDER,place_order,"Necesito pedir algunos de sus artículos, ¿cómo puedo hacerlo?"
see early exit penalty,CANCEL,check_cancellation_fee,ver penalización por salida anticipada
help checking my restitution status,REFUND,track_refund,Ayuda para verificar el estado de mi restitución
help me seeing the withdrawal penalty,CANCEL,check_cancellation_fee,Ayúdenme a ver la penalización por retiro
need help to edit the information on my user,ACCOUNT,edit_account,Necesito ayuda para editar la información de mi usuario.
I do not know how to cancel order {{Order Number}},ORDER,cancel_order,No sé cómo cancelar el pedido {{Número de pedido}}.
I don't know how I can report an issue with online payment,PAYMENT,payment_issue,No sé cómo puedo reportar un problema con el pago en línea.
can I edit my shipping address?,SHIPPING,change_shipping_address,¿Puedo editar mi dirección de envío?
wanna unsubscribe from the corporate newsletter,SUBSCRIPTION,newsletter_subscription,Quiero darme de baja del boletín informativo de la empresa.
help me to cancel purchase {{Order Number}},ORDER,cancel_order,Ayúdenme a cancelar la compra {{Número de pedido}}
where do i set tbe shipping address up,SHIPPING,set_up_shipping_address,¿Dónde configuro la dirección de envío?
"I need to file a customer reclamation, how do I do it?",FEEDBACK,complaint,"Necesito presentar una reclamación de un cliente, ¿cómo lo hago?"
could you help me receiving the corporate newsletter?,SUBSCRIPTION,newsletter_subscription,¿Podrías ayudarme a recibir el boletín informativo de la empresa?
I want assistance entering the shipping address,SHIPPING,set_up_shipping_address,Necesito ayuda para introducir la dirección de envío.
is there a way to submit some feedback for ur services,FEEDBACK,review,¿Existe alguna forma de enviar comentarios sobre sus servicios?
I try to subscribe to the company newsletter,SUBSCRIPTION,newsletter_subscription,Intento suscribirme al boletín informativo de la empresa.
I want assistance canceling order {{Order Number}},ORDER,cancel_order,Quiero ayuda para cancelar el pedido {{Número de pedido}}.
where do I check what hours I can call customer service?,CONTACT,contact_customer_service,¿Dónde puedo consultar el horario de atención al cliente?
tell me more about canceling my newsletter subscription,SUBSCRIPTION,newsletter_subscription,Cuéntame más sobre cómo cancelar mi suscripción al boletín informativo.
want help checking the allowed payment methods,PAYMENT,check_payment_methods,¿Necesitas ayuda para comprobar los métodos de pago permitidos?
can you help me check bill #12588?,INVOICE,check_invoice,¿Puedes ayudarme a revisar la factura número 12588?
need assistance reporting a problem with payment,PAYMENT,payment_issue,Necesito ayuda para reportar un problema con el pago.
i do not know what i have to do to speak with a live agent,CONTACT,contact_human_agent,No sé qué tengo que hacer para hablar con un agente en vivo.
how do I get a rebate?,REFUND,get_refund,¿Cómo puedo obtener un reembolso?
I need assistance to check your available payment methods,PAYMENT,check_payment_methods,Necesito ayuda para comprobar los métodos de pago disponibles.
where to look for the damn bills from {{Person Name}},INVOICE,check_invoice,¿Dónde puedo encontrar las malditas facturas de {{Nombre de la persona}}?
is it possible to look for my bill from {{Person Name}}?,INVOICE,check_invoice,¿Es posible buscar mi factura de {{Nombre de la persona}}?
I am trying to leave my feedback for a service,FEEDBACK,review,Estoy intentando dejar mi opinión sobre un servicio.
do you have newsletter?,SUBSCRIPTION,newsletter_subscription,¿Tienen boletín informativo?
how can I check your available payment modalities?,PAYMENT,check_payment_methods,¿Cómo puedo consultar las modalidades de pago disponibles?
I want help seeing how soon can I expect my goddamn order,DELIVERY,delivery_period,Quiero ayuda para saber cuándo puedo esperar mi maldito pedido.
ned help to see the early termination penalties,CANCEL,check_cancellation_fee,Nez ayuda para ver las penalizaciones por rescisión anticipada
can I check in which situations can I request a refund?,REFUND,check_refund_policy,¿Puedo consultar en qué situaciones puedo solicitar un reembolso?
assistance checking the withdrawal penalties,CANCEL,check_cancellation_fee,Asistencia para comprobar las penalizaciones por retirada
modify order113542617735902,ORDER,change_order,Modificar orden113542617735902
can you help me ordering several items?,ORDER,place_order,¿Me puedes ayudar a hacer un pedido de varios artículos?
how could I cancel purchase {{Order Number}}?,ORDER,cancel_order,¿Cómo puedo cancelar la compra {{Número de pedido}}?
I cannot edit ym address,SHIPPING,change_shipping_address,No puedo editar la dirección de ym
i want assistance checking what paytment methods ya accept,PAYMENT,check_payment_methods,Quiero ayuda para comprobar qué métodos de pago aceptan.
help to set my secondarydelivery address up,SHIPPING,set_up_shipping_address,Ayuda para configurar mi dirección de entrega secundaria
change a damn item of purchase {{Order Number}},ORDER,change_order,cambiar un maldito artículo de compra {{Número de pedido}}
can i see the cancellation fees,CANCEL,check_cancellation_fee,¿Puedo ver las tarifas de cancelación?
i have to sede the cancellation charge,CANCEL,check_cancellation_fee,tengo que pagar el cargo por cancelación
uhave an method to leave feedback,FEEDBACK,review,¿Tienes un método para dejar comentarios?
help me informing of a payment problem,PAYMENT,payment_issue,Ayúdenme a informar sobre un problema de pago.
check my ibll from {{Person Name}},INVOICE,check_invoice,Revisa mi ibll de {{Nombre de la persona}}
I am calling to see what shipping methods I have,DELIVERY,delivery_options,Estoy llamando para ver qué métodos de envío tengo
help trying to modify the damn address,SHIPPING,change_shipping_address,Ayuda para intentar modificar la maldita dirección
trouble entering a new shipping address,SHIPPING,set_up_shipping_address,Problemas al introducir una nueva dirección de envío
will you show me how soon canh I expect my parcel?,DELIVERY,delivery_period,¿Podrías indicarme cuándo puedo esperar mi paquete?
"I don't understand you, I need help talking to a person",CONTACT,contact_human_agent,"No te entiendo, necesito ayuda para hablar con una persona."
order 370795561790current status,ORDER,track_order,orden 370795561790estado actual
I want assistance to see in what cases can I ask for refunds,REFUND,check_refund_policy,Quiero ayuda para saber en qué casos puedo solicitar reembolsos.
I do not know what to do to get my invoice #00108,INVOICE,get_invoice,No sé qué hacer para obtener mi factura n.° 00108.
help me retrieve my user  account pin,ACCOUNT,recover_password,Ayúdame a recuperar mi PIN de cuenta de usuario.
I want assistance to talk with an agent,CONTACT,contact_human_agent,Quiero ayuda para hablar con un agente.
help with adding several damn articles to order {{Order Number}},ORDER,change_order,Ayuda para agregar varios artículos al pedido {{Número de pedido}}
I'm waiting for a restitution of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund,Estoy esperando una restitución de {{Currency Symbol}}{{Refund Amount}}
I don't know what to do to sign up to the newsletter,SUBSCRIPTION,newsletter_subscription,No sé qué hacer para suscribirme al boletín informativo.
I do not know what I need to do to file a customer complaint,FEEDBACK,complaint,No sé qué debo hacer para presentar una queja de cliente.
checking current status of purchase {{Order Number}},ORDER,track_order,Comprobando el estado actual de la compra {{Número de pedido}}
i want help to notify of registration problems,ACCOUNT,registration_problems,Quiero ayuda para notificar problemas de registro.
wanna check ur money back guarantee how can  i do it,REFUND,check_refund_policy,"Quiero comprobar vuestra garantía de devolución de dinero, ¿cómo puedo hacerlo?"
help me using the pro profile,ACCOUNT,switch_account,Ayúdame a usar el perfil Pro
how do i use the standard account,ACCOUNT,switch_account,¿Cómo utilizo la cuenta estándar?
I cannot afford order {{Order Number}},ORDER,cancel_order,No puedo pagar el pedido {{Número de pedido}}
can you help me canceling purchase {{Order Number}}?,ORDER,cancel_order,¿Puedes ayudarme a cancelar la compra {{Número de pedido}}?
what is ur customer support mail,CONTACT,contact_customer_service,¿Cuál es su correo electrónico de atención al cliente?
i want help to check the current status of order {{Order Number}},ORDER,track_order,Quiero ayuda para comprobar el estado actual del pedido {{Número de pedido}}.
do you have a method to leave a review about a service?,FEEDBACK,review,¿Tienen algún método para dejar una reseña sobre un servicio?
how do i check what hours i can call customer assistance,CONTACT,contact_customer_service,¿Cómo puedo consultar el horario de atención al cliente?
could you help me submit another delivery address?,SHIPPING,set_up_shipping_address,¿Podrías ayudarme a introducir otra dirección de entrega?
"I need to check the options for shipping, how do I do it?",DELIVERY,delivery_options,"Necesito consultar las opciones de envío, ¿cómo lo hago?"
I can't seed your refund policy,REFUND,check_refund_policy,No puedo ver su política de reembolsos
I need assistance checking the early termination charges,CANCEL,check_cancellation_fee,Necesito ayuda para comprobar los cargos por cancelación anticipada.
i dont know what i havr to do to download the invoice #00108,INVOICE,get_invoice,No sé qué tengo que hacer para descargar la factura n.° 00108.
I need help cancelling my subscription to your newsletter,SUBSCRIPTION,newsletter_subscription,Necesito ayuda para cancelar mi suscripción a su boletín informativo.
do ya ship toJapan,DELIVERY,delivery_options,¿Realizan envíos a Japón?
I want to make a consumer claim against your organization,FEEDBACK,complaint,Quiero presentar una reclamación como consumidor contra su organización.
where do i see ur accepted payment options,PAYMENT,check_payment_methods,¿Dónde puedo ver las opciones de pago aceptadas?
help me  subscribe to your newsletter,SUBSCRIPTION,newsletter_subscription,Ayúdame a suscribirme a tu boletín informativo.
"I have got to receive your corporate newsletter, I need help",SUBSCRIPTION,newsletter_subscription,"Tengo que recibir su boletín informativo corporativo, necesito ayuda."
i need assistance to reset my pwd,ACCOUNT,recover_password,Necesito ayuda para restablecer mi contraseña.
I need assistance using the standard profile,ACCOUNT,switch_account,Necesito ayuda para usar el perfil estándar.
how do I change my address?,SHIPPING,change_shipping_address,¿Cómo puedo cambiar mi dirección?
I expect a compensation of {{Refund Amount}} dollars,REFUND,track_refund,Espero una compensación de {{Cantidad de reembolso}} dólares
I'm waiting for a rebate of {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund,Estoy esperando un reembolso de {{Currency Symbol}}{{Refund Amount}}
i want help to see purchase {{Order Number}} status,ORDER,track_order,Quiero ayuda para ver el estado de la compra {{Número de pedido}}
i expect a restitution of {{Refund Amount}} dollafs,REFUND,track_refund,Espero una restitución de {{Cantidad de reembolso}} dólares
assistance to inform of a trouble with online payments,PAYMENT,payment_issue,Asistencia para informar sobre un problema con los pagos en línea
i try to change the shipping acdress,SHIPPING,change_shipping_address,Intento cambiar la dirección de envío.
I do not know what I need to do to speak to a human agent,CONTACT,contact_human_agent,No sé qué debo hacer para hablar con un agente humano.
I need assistance restoring my user account password,ACCOUNT,recover_password,Necesito ayuda para recuperar la contraseña de mi cuenta de usuario.
can i speak to customer service,CONTACT,contact_customer_service,¿Puedo hablar con atención al cliente?
I need help checking what fucking shipping options I have,DELIVERY,delivery_options,Necesito ayuda para comprobar qué malditas opciones de envío tengo
I don't know what to do to notify of  a payment problem,PAYMENT,payment_issue,No sé qué hacer para notificar un problema de pago.
wanna see the options for delivery how to do it,DELIVERY,delivery_options,¿Quieres ver las opciones de entrega? ¿Cómo hacerlo?
help ordering soem of your product,ORDER,place_order,ayuda para pedir algunos de sus productos
assistance to delete something from purcahse {{Order Number}},ORDER,change_order,Asistencia para eliminar algo de la compra {{Número de pedido}}
i want help purchasing several products,ORDER,place_order,Quiero ayuda para comprar varios productos.
could I change to the goddamn standard account?,ACCOUNT,switch_account,¿Puedo cambiar a la maldita cuenta estándar?
edit information on {{Account Category}} account,ACCOUNT,edit_account,Editar información en la cuenta {{Categoría de cuenta}}
I have  to see the early termination fee,CANCEL,check_cancellation_fee,Tengo que ver la tarifa por cancelación anticipada.
I awnt assistance to locate the bill #00108,INVOICE,check_invoice,Necesito ayuda para localizar la factura n.° 00108.
what do i need to do to restore my account pin,ACCOUNT,recover_password,¿Qué debo hacer para recuperar mi PIN de cuenta?
shipnents to {{Delivery Country}},DELIVERY,delivery_options,Envíos a {{País de entrega}}
where do I submit feedback about a product?,FEEDBACK,review,¿Dónde puedo enviar mis comentarios sobre un producto?
assistance listing the payment methods,PAYMENT,check_payment_methods,Ayuda para enumerar los métodos de pago
assistance seeing how soon can i expect the item,DELIVERY,delivery_period,Ayuda para saber cuándo puedo esperar el artículo
subscription to ur company newsletter,SUBSCRIPTION,newsletter_subscription,Suscripción al boletín informativo de nuestra empresa
i expect an rebate of {{Refund Amount}} dollars,REFUND,track_refund,Espero un reembolso de {{Refund Amount}} dólares
can i send some feedback for a product,FEEDBACK,review,¿Puedo enviar comentarios sobre un producto?
i dont know how i can contact somebody,CONTACT,contact_human_agent,No sé cómo puedo contactar con alguien.
I try to list the accepted payment options,PAYMENT,check_payment_methods,Intento enumerar las opciones de pago aceptadas.
could you help me leaving an opinion about a product?,FEEDBACK,review,¿Podrías ayudarme a dejar una opinión sobre un producto?
where to see the current status of the reimbursement,REFUND,track_refund,dónde consultar el estado actual del reembolso
cancelling order,ORDER,cancel_order,cancelar pedido
is there a way to submit feedback for your company?,FEEDBACK,review,¿Existe alguna forma de enviar comentarios sobre su empresa?
I do not know how to order a few of your article,ORDER,place_order,No sé cómo pedir algunos de sus artículos.
I'm trying to list the available payment modalities,PAYMENT,check_payment_methods,Estoy intentando enumerar las modalidades de pago disponibles.
there are problems setting a new delivery address up,SHIPPING,set_up_shipping_address,Hay problemas al configurar una nueva dirección de entrega.
canceling {{Account Category}} account,ACCOUNT,delete_account,Cancelando la cuenta {{Categoría de cuenta}}
I cannot afford order {{Order Number}},ORDER,cancel_order,No puedo pagar el pedido {{Número de pedido}}
my experience with uhas been bad i wanna make a bloody claim,FEEDBACK,complaint,"Mi experiencia con ustedes ha sido mala, quiero presentar una reclamación."
is it possible to obtaih rebates,REFUND,get_refund,¿Es posible obtener reembolsos?
"I need to purchase several items, how can I do it?",ORDER,place_order,"Necesito comprar varios artículos, ¿cómo puedo hacerlo?"
how do I check if there are any updates on the restitution?,REFUND,track_refund,¿Cómo puedo comprobar si hay alguna novedad sobre la restitución?
tell me about cancel the subscription to the newsletter,SUBSCRIPTION,newsletter_subscription,Cuéntame cómo cancelar la suscripción al boletín informativo.
I do not know how I ca cancel order {{Order Number}},ORDER,cancel_order,No sé cómo puedo cancelar el pedido {{Número de pedido}}
i ahve got to find the bloody bill from {{Person Name}} help me,INVOICE,check_invoice,"Tengo que encontrar la maldita factura de {{Nombre de la persona}}, ayúdenme."
what do i have to do to delete a {{Account Category}} account,ACCOUNT,delete_account,¿Qué debo hacer para eliminar una cuenta de {{Account Category}}?
I don't know what I need to do to chat with an operator,CONTACT,contact_human_agent,No sé qué tengo que hacer para chatear con un operador.
need assistance to find my fucking bill from {{Person Name}},INVOICE,check_invoice,Necesito ayuda para encontrar mi maldita factura de {{Nombre de la persona}}
where do I see if there are any news on the rebate?,REFUND,track_refund,¿Dónde puedo consultar si hay alguna novedad sobre el reembolso?
help me checking the accepted payment options,PAYMENT,check_payment_methods,Ayúdame a comprobar las opciones de pago aceptadas.
help me creating a freemium account,ACCOUNT,create_account,Ayúdenme a crear una cuenta freemium
i dont know how i can find my damn invoices from {{Person Name}},INVOICE,check_invoice,No sé cómo puedo encontrar mis malditas facturas de {{Nombre de la persona}}
reporting issue creating user,ACCOUNT,registration_problems,reportando problema creando usuario
how do i delete a product from order {{Order Number}},ORDER,change_order,¿Cómo elimino un producto del pedido {{Número de pedido}}?
could I track my damn reimbursement?,REFUND,track_refund,¿Puedo rastrear mi maldito reembolso?
"I want to leave a comment, how could I do it?",FEEDBACK,review,"Quiero dejar un comentario, ¿cómo puedo hacerlo?"
I have troubles submitting the shipping address,SHIPPING,set_up_shipping_address,Tengo problemas para enviar la dirección de envío.
assistance to write a comment for ur company,FEEDBACK,review,Ayuda para redactar un comentario para su empresa.
help to see at what time i can reach customer support,CONTACT,contact_customer_service,Ayuda para saber a qué hora puedo contactar con el servicio de atención al cliente.
i cant submit myy new shipping address,SHIPPING,set_up_shipping_address,No puedo enviar mi nueva dirección de envío.
getbills from {{Person Name}},INVOICE,get_invoice,obtener facturas de {{Nombre de la persona}}
I don't know how to see what delivery options I have,DELIVERY,delivery_options,No sé cómo ver qué opciones de entrega tengo
how tolodge a customer complaint,FEEDBACK,complaint,Cómo presentar una queja de un cliente
i have issues modifying my delivery address,SHIPPING,change_shipping_address,Tengo problemas para modificar mi dirección de entrega.
help retrieving the password of my account,ACCOUNT,recover_password,Ayuda para recuperar la contraseña de mi cuenta.
can you help me check my restitution status?,REFUND,track_refund,¿Puedes ayudarme a comprobar el estado de mi solicitud de restitución?
I am calling to get my bill #37777,INVOICE,get_invoice,Llamo para obtener mi factura n.° 37777.
can uhelp me check the compensation current status,REFUND,track_refund,¿Puedes ayudarme a verificar el estado actual de la compensación?
find information about the removal of my pro account,ACCOUNT,delete_account,Encontrar información sobre la eliminación de mi cuenta Pro.
check in which cases can I ask for a refund,REFUND,check_refund_policy,Comprueba en qué casos puedo solicitar un reembolso.
i have paid {{Currency Symbol}}{{Refund Amount}} for thid item i try to receive a rebate,REFUND,get_refund,He pagado {{Currency Symbol}}{{Refund Amount}} por este artículo y quiero recibir un reembolso.
i want assistance with my onlinhe registration,ACCOUNT,registration_problems,Quiero ayuda con mi registro en línea.
help me see when my damn article is going to arrive,DELIVERY,delivery_period,Ayúdenme a ver cuándo va a llegar mi maldito artículo.
use {{Account Category}} acdcount,ACCOUNT,switch_account,usar {{Categoría de cuenta}} acdcount
I need help seeing purchase {{Order Number}} current status,ORDER,track_order,Necesito ayuda para ver el estado actual de la compra {{Número de pedido}}
I do not know how I can notify of an error with payments,PAYMENT,payment_issue,No sé cómo puedo notificar un error con los pagos.
their is an error trying to update the shipping address,SHIPPING,change_shipping_address,Se ha producido un error al intentar actualizar la dirección de envío.
I'm waiting for a restitution oof {{Currency Symbol}}{{Refund Amount}},REFUND,track_refund,Estoy esperando una restitución oof {{Símbolo de moneda}}{{Importe del reembolso}}
I want help solving a problem with online payment,PAYMENT,payment_issue,Necesito ayuda para resolver un problema con los pagos en línea.
I need assistance editing my delivery address,SHIPPING,change_shipping_address,Necesito ayuda para editar mi dirección de entrega.
question about the cancellation of a {{Account Category}} acclunt,ACCOUNT,delete_account,Pregunta sobre la cancelación de una cuenta de {{Categoría de cuenta}}
where do I restore my user account pass?,ACCOUNT,recover_password,¿Dónde puedo recuperar la contraseña de mi cuenta de usuario?
how do I ddmand refunds of my money?,REFUND,get_refund,¿Cómo puedo solicitar el reembolso de mi dinero?
i dont know what i need to do to order an item,ORDER,place_order,No sé qué tengo que hacer para pedir un artículo.
I need assistance to contact a live agent,CONTACT,contact_human_agent,Necesito ayuda para contactar con un agente en directo.
where to see the early termination fees?,CANCEL,check_cancellation_fee,¿Dónde puedo consultar las tarifas por cancelación anticipada?
i cant open a user profile where do i report sign-u errors,ACCOUNT,registration_problems,No puedo abrir un perfil de usuario. ¿Dónde puedo reportar errores de inicio de sesión?
I'm calling to gt the bloody bills from {{Person Name}},INVOICE,get_invoice,Llamo para obtener las malditas facturas de {{Nombre de la persona}}
i dont know what to do to track my rebate,REFUND,track_refund,No sé qué hacer para rastrear mi reembolso.
give me information about signing up to your newsletter,SUBSCRIPTION,newsletter_subscription,Dame información sobre cómo suscribirme a tu boletín informativo.
I do not know how to check the status of the reimbursement,REFUND,track_refund,No sé cómo consultar el estado del reembolso.
what do i need to do to see the invoice #37777,INVOICE,check_invoice,¿Qué debo hacer para ver la factura n.° 37777?
there is an error setting the delivery address up,SHIPPING,set_up_shipping_address,Hay un error al configurar la dirección de entrega.
assistance to see your refund policy,REFUND,check_refund_policy,Asistencia para consultar su política de reembolsos
I do not know how I can sign up to the newsletter,SUBSCRIPTION,newsletter_subscription,No sé cómo puedo suscribirme al boletín informativo.
help to see in what cases can I ask for my money back,REFUND,check_refund_policy,Ayuda para saber en qué casos puedo pedir que me devuelvan el dinero.
another gold account for father,ACCOUNT,create_account,otra cuenta de oro para papá
could you help me modify the bloody data on my profile?,ACCOUNT,edit_account,¿Podrías ayudarme a modificar los malditos datos de mi perfil?
makie complaint,FEEDBACK,complaint,queja de makie
need help checking the damn ETA of purchase {{Order Number}},ORDER,track_order,Necesito ayuda para comprobar la fecha estimada de entrega (ETA) de la compra {{Número de pedido}}.
need to contact customer service how do i do it,CONTACT,contact_customer_service,"Necesito contactar con el servicio de atención al cliente, ¿cómo lo hago?"
how soon can i expect my purchase,DELIVERY,delivery_period,¿Cuándo puedo esperar mi compra?
i cannot create a {{Account Type}} account,ACCOUNT,create_account,No puedo crear una cuenta {{Account Type}}
want help to enter a new delivery address,SHIPPING,set_up_shipping_address,¿Necesitas ayuda para introducir una nueva dirección de entrega?
i have paid {{Currency Symbol}}{{Refund Amount}} ofr this product i need my money back,REFUND,get_refund,He pagado {{Currency Symbol}}{{Refund Amount}} por este producto y necesito que me devuelvan mi dinero.
help changing to the {{Account Category}} account,ACCOUNT,switch_account,Ayuda para cambiar a la cuenta {{Categoría de cuenta}}
want assistance changing to the pro account,ACCOUNT,switch_account,Necesito ayuda para cambiar a la cuenta Pro.
where to see what payment options are available?,PAYMENT,check_payment_methods,¿Dónde puedo consultar las opciones de pago disponibles?
I cannot remove  an article from order {{Order Number}},ORDER,change_order,No puedo eliminar un artículo del pedido {{Número de pedido}}.
I want help to check the early termination charges,CANCEL,check_cancellation_fee,Quiero ayuda para comprobar los cargos por cancelación anticipada.
switch to {{Account Category}} account,ACCOUNT,switch_account,cambiar a la cuenta {{Categoría de cuenta}}
I need assistance with opening a {{Account Category}} account,ACCOUNT,create_account,Necesito ayuda para abrir una cuenta de {{Categoría de cuenta}}
I want assistance reporting a trouble with payment,PAYMENT,payment_issue,Quiero ayuda para reportar un problema con el pago.
wany help to reset the access key of my account,ACCOUNT,recover_password,¿Podrían ayudarme a restablecer la clave de acceso de mi cuenta?
wannma speak to customer service how can i do it,CONTACT,contact_customer_service,"Quiero hablar con atención al cliente, ¿cómo puedo hacerlo?"
what fucking hours can I call customer support?,CONTACT,contact_customer_service,¿A qué maldito horario puedo llamar al servicio de atención al cliente?
I can't speak with a live agent,CONTACT,contact_human_agent,No puedo hablar con un agente en vivo.
i paid {{Currency Symbol}}{{Refund Amount}} for an article i try to obain a reimbursement,REFUND,get_refund,Pagué {{Currency Symbol}}{{Refund Amount}} por un artículo y trato de obtener un reembolso.
where can I see at what time I can reach customer support?,CONTACT,contact_customer_service,¿Dónde puedo consultar el horario de atención al cliente?
I am waiting for an restitution of {{Refund Amount}} dollars,REFUND,track_refund,Estoy esperando un reembolso de {{Cantidad de reembolso}} dólares.
is it possible to place an order from {{Delivery Country}}?,DELIVERY,delivery_options,¿Es posible realizar un pedido desde {{País de entrega}}?
I need assistance canceling purchase {{Order Number}},ORDER,cancel_order,Necesito ayuda para cancelar la compra {{Número de pedido}}.
i have got to restore my user acxcount pin code,ACCOUNT,recover_password,Tengo que restaurar mi código PIN de cuenta de usuario.
see the damn bills from {{Person Name}},INVOICE,check_invoice,mira las malditas facturas de {{Nombre de la persona}}
errors setting up the shipping address,SHIPPING,set_up_shipping_address,errores al configurar la dirección de envío
i need help looking for my bill from {{Person Name}},INVOICE,check_invoice,Necesito ayuda para encontrar mi factura de {{Nombre de la persona}}.
where to create a platinum account for my dad,ACCOUNT,create_account,¿Dónde puedo crear una cuenta platino para mi padre?
I want assistance to set up a shipping address,SHIPPING,set_up_shipping_address,Quiero ayuda para configurar una dirección de envío.
where can I find information about shipping periods?,DELIVERY,delivery_period,¿Dónde puedo encontrar información sobre los plazos de envío?
what do i have to do to sign up to the newsletter,SUBSCRIPTION,newsletter_subscription,¿Qué debo hacer para suscribirme al boletín informativo?
correct purchase {{Order Number}},ORDER,change_order,Compra correcta {{Número de pedido}}
I am waiting for a refnd of {{Refund Amount}} dollars,REFUND,track_refund,Estoy esperando un reembolso de {{Refund Amount}} dólares
need help to take a quick look at bill #00108,INVOICE,check_invoice,Necesito ayuda para echar un vistazo rápido a la factura n.° 00108.
i dont know what i need to do to delete a standard account,ACCOUNT,delete_account,No sé qué debo hacer para eliminar una cuenta estándar.
I need help checking the allowed payment options,PAYMENT,check_payment_methods,Necesito ayuda para comprobar las opciones de pago permitidas.
how do I see when my item is going to arrive?,DELIVERY,delivery_period,¿Cómo puedo saber cuándo llegará mi artículo?
is it possible to ask for a rebate?,REFUND,get_refund,¿Es posible solicitar un reembolso?
tell me about subscribing to your newsletter,SUBSCRIPTION,newsletter_subscription,Cuéntame cómo puedo suscribirme a tu boletín informativo.
check invoices from {{Person Name}},INVOICE,check_invoice,Revisar facturas de {{Nombre de la persona}}
wanna igve a quick look at the bill #12588,INVOICE,check_invoice,Quiero echar un vistazo rápido a la factura n.° 12588.
I don't know how I can download bill #85632,INVOICE,get_invoice,No sé cómo puedo descargar la factura n.° 85632.
how do I remove something from order {{Order Number}}?,ORDER,change_order,¿Cómo puedo eliminar algo del pedido {{Número de pedido}}?
correct data on platinum account,ACCOUNT,edit_account,Datos correctos en la cuenta platino
want help to switch to the freemium account,ACCOUNT,switch_account,¿Necesitas ayuda para cambiar a la cuenta freemium?
